count,threadgroup,threadgroup1,threadgroup2,run,cpu_ms,gpu_ms,hits
1048576,32,32,32,1,hits=523576,hits=523576,
1048576,64,64,64,1,hits=523576,hits=523576,
1048576,128,128,128,1,hits=523576,hits=523576,
1048576,256,256,256,1,hits=523576,hits=523576,
4194304,32,32,32,1,hits=2095000,hits=2095000,
4194304,64,64,64,1,hits=2095000,hits=2095000,
4194304,128,128,128,1,hits=2095000,hits=2095000,
4194304,256,256,256,1,hits=2095000,hits=2095000,
16777216,32,32,32,1,hits=8387216,hits=8387216,
16777216,64,64,64,1,hits=8387216,hits=8387216,
16777216,128,128,128,1,hits=8387216,hits=8387216,
16777216,256,256,256,1,hits=8387216,hits=8387216,
